Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
2A|1107|36.956246|-97.826935|351.1|1107|2016-04-13T15:10:13|2016-05-13T16:24:18
2A|1108|36.956216|-97.817934|353.9|1108|2016-04-13T15:12:17|2016-05-13T16:27:26
2A|1109|36.956208|-97.813739|353.3|1109|2016-04-13T15:13:51|2016-05-13T16:29:54
2A|111|36.724021|-98.055676|326.2|111|2016-04-11T18:24:45|2016-05-10T15:24:40
2A|1110|36.956214|-97.808944|354.7|1110|2016-04-13T15:15:18|2016-05-13T16:33:11
2A|1111|36.956217|-97.799913|354.3|1111|2016-04-13T15:17:19|2016-05-13T16:36:46
2A|1112|36.956184|-97.795547|349.6|1112|2016-04-13T15:18:54|2016-05-13T16:39:09
2A|1113|36.956173|-97.790788|350.2|1113|2016-04-13T15:22:17|2016-05-13T16:41:23
2A|1114|36.956136|-97.781805|354.2|1114|2016-04-13T15:24:21|2016-05-13T16:44:39
2A|1115|36.956148|-97.777481|359.1|1115|2016-04-13T15:26:00|2016-05-13T16:47:17
2A|1116|36.956143|-97.772812|360.9|1116|2016-04-13T15:27:20|2016-05-13T16:49:52
2A|1117|36.95613|-97.763993|357.4|1117|2016-04-13T15:29:51|2016-05-13T16:52:55
2A|1118|36.956133|-97.75889|362.9|1118|2016-04-13T15:31:30|2016-05-13T16:55:25
2A|1119|36.956104|-97.754907|363.3|1119|2016-04-13T15:33:11|2016-05-13T16:57:53
2A|112|36.720477|-98.055781|327.3|112|2016-04-11T18:20:00|2016-05-10T15:20:22
2A|1120|36.941706|-97.921203|353.8|1120|2016-04-13T16:32:08|2016-05-13T18:50:30
2A|1121|36.94171|-97.916622|355.8|1121|2016-04-13T16:30:33|2016-05-13T18:48:30
2A|1122|36.941693|-97.907484|358.0|1122|2016-04-13T16:28:47|2016-05-13T18:45:05
2A|1123|36.941637|-97.903043|357.5|1123|2016-04-13T16:27:08|2016-05-13T18:42:34
2A|1124|36.94164|-97.898585|363.6|1124|2016-04-13T16:25:35|2016-05-13T18:40:16
2A|1125|36.941732|-97.889613|362.2|1125|2016-04-13T16:23:42|2016-05-13T18:37:11
2A|1126|36.94177|-97.885107|360.1|1126|2016-04-13T16:21:31|2016-05-13T18:34:44
2A|1127|36.941746|-97.88053|356.2|1127|2016-04-13T16:19:56|2016-05-13T18:24:37
2A|1128|36.941704|-97.871635|353.0|1128|2016-04-13T16:17:53|2016-05-13T18:20:43
2A|1129|36.941642|-97.867021|344.1|1129|2016-04-13T16:16:25|2016-05-13T18:18:21
2A|113|36.716829|-98.055767|325.0|113|2016-04-11T18:16:25|2016-05-10T15:15:59
2A|1130|36.941702|-97.862579|351.8|1130|2016-04-13T16:14:54|2016-05-13T18:15:20
2A|1131|36.9417|-97.852958|356.8|1131|2016-04-13T16:12:55|2016-05-13T18:10:48
2A|1132|36.941684|-97.848526|349.7|1132|2016-04-13T16:09:35|2016-05-13T18:08:04
2A|1133|36.941669|-97.844039|348.9|1133|2016-04-13T16:08:14|2016-05-13T18:02:00
2A|1134|36.941743|-97.835176|344.9|1134|2016-04-13T16:06:26|2016-05-13T17:58:05
2A|1135|36.941762|-97.830638|342.0|1135|2016-04-13T16:04:50|2016-05-13T17:54:52
2A|1136|36.941782|-97.826134|344.3|1136|2016-04-13T16:03:02|2016-05-13T17:52:24
2A|1137|36.941712|-97.817311|346.5|1137|2016-04-13T16:01:06|2016-05-13T17:49:17
2A|1138|36.941716|-97.812903|345.8|1138|2016-04-13T15:59:29|2016-05-13T17:46:48
2A|1139|36.941687|-97.808359|346.3|1139|2016-04-13T15:57:41|2016-05-13T17:44:07
2A|114|36.713188|-98.055719|325.2|114|2016-04-11T18:12:13|2016-05-10T15:10:25
2A|1140|36.941649|-97.798947|342.2|1140|2016-04-13T15:55:35|2016-05-13T17:41:15
2A|1141|36.941653|-97.794323|346.7|1141|2016-04-13T15:54:01|2016-05-13T17:39:02
2A|1142|36.941664|-97.789722|348.7|1142|2016-04-13T15:52:28|2016-05-13T17:36:55
2A|1143|36.941621|-97.780946|351.5|1143|2016-04-13T15:50:37|2016-05-13T17:34:11
2A|1144|36.941618|-97.776349|350.4|1144|2016-04-13T15:48:37|2016-05-13T17:30:10
2A|1145|36.941606|-97.771983|351.8|1145|2016-04-13T15:46:53|2016-05-13T17:28:08
2A|1146|36.941621|-97.763718|358.4|1146|2016-04-13T15:41:36|2016-05-13T17:25:03
2A|1147|36.941606|-97.759677|356.0|1147|2016-04-13T15:39:40|2016-05-13T17:21:46
2A|1148|36.941587|-97.754546|353.7|1148|2016-04-13T15:37:59|2016-05-13T17:18:32
2A|1149|36.926687|-97.938944|353.4|1149|2016-04-13T16:57:16|2016-05-13T12:38:36
2A|115|36.709784|-98.055816|323.0|115|2016-04-11T17:51:06|2016-05-10T15:05:55
2A|1150|36.926742|-97.934723|355.2|1150|2016-04-13T16:59:03|2016-05-13T12:42:22
2A|1151|36.926775|-97.925655|355.1|1151|2016-04-13T17:01:02|2016-05-13T12:46:48
2A|1152|36.926799|-97.921052|356.5|1152|2016-04-13T17:02:26|2016-05-13T12:50:47
2A|1153|36.926834|-97.916743|358.5|1153|2016-04-13T17:03:49|2016-05-13T12:53:54
2A|1154|36.926855|-97.907524|362.1|1154|2016-04-13T17:05:53|2016-05-13T12:57:40
2A|1155|36.926868|-97.90294|361.3|1155|2016-04-13T17:07:52|2016-05-13T13:02:21
2A|1156|36.926875|-97.898565|362.3|1156|2016-04-13T17:11:09|2016-05-13T13:06:52
2A|1157|36.926921|-97.889447|367.1|1157|2016-04-13T17:13:25|2016-05-13T13:09:48
2A|1158|36.926972|-97.884995|361.0|1158|2016-04-13T17:14:50|2016-05-13T13:12:50
2A|1159|36.926971|-97.880397|358.5|1159|2016-04-13T17:16:28|2016-05-13T13:15:30
2A|116|36.695074|-98.055583|338.6|116|2016-04-11T22:29:03|2016-05-10T20:36:53
2A|1160|36.927003|-97.870881|356.6|1160|2016-04-13T17:18:53|2016-05-13T13:17:57
2A|1161|36.926996|-97.866355|352.6|1161|2016-04-13T17:20:11|2016-05-13T13:20:05
2A|1162|36.926996|-97.862068|347.7|1162|2016-04-13T17:21:28|2016-05-13T13:22:25
2A|1163|36.926968|-97.853082|346.6|1163|2016-04-13T17:23:09|2016-05-13T13:25:12
2A|1164|36.926948|-97.848574|343.8|1164|2016-04-13T17:24:33|2016-05-13T13:27:15
2A|1165|36.926955|-97.844054|346.8|1165|2016-04-13T17:25:49|2016-05-13T13:29:31
2A|1166|36.926877|-97.835082|344.8|1166|2016-04-13T17:27:27|2016-05-13T13:31:59
2A|1167|36.926813|-97.830411|345.0|1167|2016-04-13T17:28:38|2016-05-13T13:34:17
2A|1168|36.92678|-97.825926|345.3|1168|2016-04-13T17:30:10|2016-05-13T13:37:05
2A|1169|36.92671|-97.81681|352.2|1169|2016-04-13T17:31:54|2016-05-13T13:41:23
2A|117|36.691516|-98.055782|338.8|117|2016-04-11T22:33:11|2016-05-10T20:41:22
2A|1170|36.926664|-97.812337|350.6|1170|2016-04-13T17:33:07|2016-05-13T13:43:02
2A|1171|36.926629|-97.80777|348.6|1171|2016-04-13T17:34:22|2016-05-13T13:45:15
2A|1172|36.926515|-97.798787|344.4|1172|2016-04-13T17:36:24|2016-05-13T13:47:57
2A|1173|36.926398|-97.794024|345.9|1173|2016-04-13T17:37:42|2016-05-13T13:50:31
2A|1174|36.926345|-97.789699|347.8|1174|2016-04-13T17:38:59|2016-05-13T13:53:04
2A|1175|36.926374|-97.780442|347.2|1175|2016-04-13T17:40:44|2016-05-13T13:56:47
2A|1176|36.926485|-97.775959|352.2|1176|2016-04-13T17:42:01|2016-05-13T13:59:48
2A|1177|36.92663|-97.771315|356.9|1177|2016-04-13T17:43:40|2016-05-13T14:02:37
2A|1178|36.92674|-97.763466|348.0|1178|2016-04-13T17:45:30|2016-05-13T14:05:38
2A|1179|36.926741|-97.758603|345.8|1179|2016-04-13T17:47:17|2016-05-13T14:08:18
2A|118|36.687908|-98.055798|336.8|118|2016-04-11T22:36:42|2016-05-10T20:45:12
2A|1180|36.926774|-97.754565|350.2|1180|2016-04-13T17:48:30|2016-05-13T14:12:04
2A|1181|36.912145|-97.952496|346.5|1181|2016-04-13T16:31:37|2016-05-13T16:31:13
2A|1182|36.912346|-97.907511|358.6|1182|2016-04-13T17:15:47|2016-05-13T16:50:57
2A|1183|36.912364|-97.903051|359.7|1183|2016-04-13T17:18:43|2016-05-13T17:48:00
2A|1184|36.912372|-97.898545|361.4|1184|2016-04-13T17:22:23|2016-05-13T17:41:36
2A|1185|36.912409|-97.889713|357.9|1185|2016-04-13T17:28:57|2016-05-13T18:10:25
2A|1186|36.912461|-97.884962|353.1|1186|2016-04-13T17:32:23|2016-05-13T18:14:06
2A|1187|36.912486|-97.880615|351.7|1187|2016-04-13T17:35:03|2016-05-13T18:16:55
2A|1188|36.912548|-97.871239|345.1|1188|2016-04-13T17:38:25|2016-05-13T18:22:15
2A|1189|36.912548|-97.866668|347.1|1189|2016-04-13T17:42:02|2016-05-13T18:24:39
2A|119|36.684253|-98.05585|334.2|119|2016-04-11T22:39:49|2016-05-10T20:49:27
2A|1190|36.912523|-97.862233|343.7|1190|2016-04-13T17:46:07|2016-05-13T18:26:56
2A|1191|36.912517|-97.853048|340.6|1191|2016-04-13T17:49:34|2016-05-13T15:22:44
2A|1192|36.912448|-97.848672|338.3|1192|2016-04-13T17:56:39|2016-05-13T15:20:23
2A|1193|36.912406|-97.843991|340.3|1193|2016-04-13T18:00:25|2016-05-13T15:17:01
2A|1194|36.912406|-97.835022|343.3|1194|2016-04-13T18:04:57|2016-05-13T18:45:24
2A|1195|36.9124|-97.830531|346.7|1195|2016-04-13T18:08:13|2016-05-13T18:48:26
2A|1196|36.912373|-97.825933|347.8|1196|2016-04-13T18:13:00|2016-05-13T18:53:18
2A|1197|36.912306|-97.816794|347.1|1197|2016-04-13T18:16:51|2016-05-13T18:57:37
2A|1198|36.912206|-97.812246|347.0|1198|2016-04-13T18:21:57|2016-05-13T18:59:54
2A|1199|36.912197|-97.8079|347.0|1199|2016-04-13T18:25:22|2016-05-13T19:05:46
2A|12|36.70609|-98.091859|342.5|12|2016-04-11T19:17:37|2016-05-11T15:50:15
2A|120|36.680875|-98.055748|333.6|120|2016-04-11T22:45:55|2016-05-10T20:53:30
2A|1200|36.912104|-97.798573|343.8|1200|2016-04-13T18:29:07|2016-05-13T19:11:30
2A|1201|36.911999|-97.794213|344.1|1201|2016-04-13T18:32:32|2016-05-13T19:14:30
2A|1202|36.91189|-97.789345|340.4|1202|2016-04-13T18:36:43|2016-05-13T19:17:32
2A|1203|36.911869|-97.780624|347.1|1203|2016-04-13T15:59:02|2016-05-13T19:20:43
2A|1204|36.912003|-97.776139|348.3|1204|2016-04-13T15:53:27|2016-05-13T19:26:21
2A|1205|36.912078|-97.77174|350.8|1205|2016-04-13T15:49:07|2016-05-13T19:34:14
2A|1206|36.897884|-97.969765|341.6|1206|2016-04-13T16:49:44|2016-05-13T16:22:13
2A|1207|36.897742|-97.961316|343.4|1207|2016-04-13T16:47:13|2016-05-13T16:19:07
2A|1208|36.897592|-97.956737|344.9|1208|2016-04-13T16:44:40|2016-05-13T16:16:27
2A|1209|36.89764|-97.952394|346.4|1209|2016-04-13T16:41:20|2016-05-13T16:14:04
2A|121|36.677034|-98.055749|332.2|121|2016-04-11T22:49:05|2016-05-10T20:57:24
2A|1210|36.897652|-97.943383|346.0|1210|2016-04-13T16:34:36|2016-05-13T16:11:41
2A|1211|36.897695|-97.938624|348.7|1211|2016-04-13T16:29:12|2016-05-13T16:08:47
2A|1212|36.897714|-97.934269|348.4|1212|2016-04-13T16:26:25|2016-05-13T16:05:38
2A|1213|36.8978|-97.925093|351.3|1213|2016-04-13T16:23:51|2016-05-13T16:02:50
2A|1214|36.89786|-97.916255|355.9|1214|2016-04-13T16:20:38|2016-05-13T15:59:18
